"id","name","x_concept_source","x_concept_code","detailed_type","company_id/id"
"init.proteines_autres_liquides_de_ponction","Protéines (Autres liquides de ponction)","LOINC","90117-8","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.proteines_de_24h","Protéines de 24H","LOINC","90118-9","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.proteines_totales","Protéines totales","LOINC","90119-0","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.proteines_urinaires","Protéines urinaires","LOINC","90120-2","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.rapport_a1_b","RAPPORT A1/B","LOINC","90121-3","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.recherche_de_proteines_de_bence_jones_pbjs_7","Recherche de Protéines de Bence - Jones (PBJS)_7#","LOINC","90122-4","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.recherche_de_proteines_de_bence_jones_urinaire_10","Recherche de Protéines de Bence - Jones (Urinaire)10#","LOINC","90123-5","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.recherche_de_sang_dans_les_selles","Recherche de sang dans les selles","LOINC","90124-6","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.sodium_autres_liquides_de_ponction","Sodium (Autres liquides de ponction)","LOINC","90125-7","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.sodium_dialysat","Sodium (Dialysat)","LOINC","90126-8","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.sodium_natremie","Sodium (Natrémie)","LOINC","90127-9","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.test_d_osullivan_to_t60","TEST D° OSULLIVAN (TO - T60)","LOINC","90128-0","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.test_de_grossesse","Test de grossesse","LOINC","90129-1","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.test_de_osullivan_diagnostic","TEST DE O°SULLIVAN: Diagnostic","LOINC","90130-3","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.testosterone","Testostérone","LOINC","90131-4","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.thyroidin_stimulating_hormon_tsh","Thyroidin stimulating hormon (TSH)","LOINC","90132-5","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.thyroxine_libre_ft4","Thyroxine libre (FT4)","LOINC","90133-6","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.transaminase","Transaminase.","LOINC","90134-7","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.transaminases","Transaminases","LOINC","90135-8","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.transferine","Transferine","LOINC","90136-9","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.triglycerides","Triglycérides","LOINC","90137-0","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.triglycerides_autres_liquides_de_ponction","Triglycerides (Autres liquides de ponction)","LOINC","90138-1","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.tri_lodothyronine_libre_ft3","Tri-lodothyronine libre(ft3)","LOINC","90139-2","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.troponine_hypersensible_tnhs","TROPONINE Hypersensible (TNHS)","LOINC","90140-4","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.uree_autres_liquides_de_ponction","Urée (Autres liquides de ponction)","LOINC","90141-5","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.uree_ou_azotemie","Urée ou (azotémie)","LOINC","90142-6","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.uree_urinaire","Urée urinaire","LOINC","90143-7","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
"init.urobilinogene_et_bilirubine","Urobilinogène et bilirubine","LOINC","90144-8","service","init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c"
