"id","field_id/id","name","value"
"init.6f3f99f2-0e21-40f4-b8aa-70f8fce84ca1","init.1e4f457e-9578-4707-a70d-11c8dc1bf841","Operational","Operational"
"init.740be66d-f034-4682-99bf-7780f7ad0c12","init.1e4f457e-9578-4707-a70d-11c8dc1bf841","Under Maintenance","Under Maintenance"
"init.8c1e2e41-8518-4324-b8a9-7d6450df70f3","init.1e4f457e-9578-4707-a70d-11c8dc1bf841","Out of Service","Out of Service"
"init.978b4df4-a032-4df2-8548-8b8702e76304","init.1e4f457e-9578-4707-a70d-11c8dc1bf841","Decommissioned","Decommissioned"
"init.d43c18ce-6058-4f50-b04d-ad39910a8878","init.5ef6187a-7b93-4653-a9fe-56a612785d84","Calibrated","Calibrated"
"init.e5b1911a-74d0-4efc-a487-b59c58e92959","init.5ef6187a-7b93-4653-a9fe-56a612785d84","Due Soon","Due Soon"
"init.f60a2f5b-76c9-4b7d-b73e-c62cb5d5a7ba","init.5ef6187a-7b93-4653-a9fe-56a612785d84","Overdue","Overdue"
"init.0a7ef4d6-7c12-4425-a532-d4af413338bb","init.5ef6187a-7b93-4653-a9fe-56a612785d84","Not Calibrated","Not Calibrated"
