"id","name","sequence","parent_id/id","partner_id/id","currency_id/id"
"init.79a0cada-0a28-4ba7-9eef-d4cff75c8228","Central",10,"base.main_company","init.11a22b33-44c5-66d7-88e9-00f1a2b3c4d5","base.MGA"
"init.d0977f53-2522-4186-9ac6-d1c24bcdfa11","Nosy Be",11,"base.main_company","init.22b33c44-55d6-77e8-99f0-1a2b3c4d5e6f","base.MGA"
"init.1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d","Diego",12,"base.main_company","init.33c44d55-66e7-88f9-00a1-2b3c4d5e6f7a","base.MGA"
"init.2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e","Mahajanga",13,"base.main_company","init.44d55e66-77f8-99a0-1b2c-3d4e5f6a7b8c","base.MGA"
"init.3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f","Toamasina",14,"base.main_company","init.55e66f77-88a9-00b1-2c3d-4e5f6a7b8c9d","base.MGA"
"init.4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a","Fianarantsoa",15,"base.main_company","init.66f77a88-99b0-1c2d-3e4f-5a6b7c8d9e0f","base.MGA"
"init.5e6f7a8b-9c0d-1e2f-3a4b-5c6d7e8f9a0b","Toliara",16,"base.main_company","init.77a88b99-00c1-2d3e-4f5a-6b7c8d9e0f1a","base.MGA"
"init.6f7a8b9c-0d1e-2f3a-4b5c-6d7e8f9a0b1c","HJRA",17,"init.7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d","init.88b99c00-11d2-3e4f-5a6b-7c8d9e0f1a2b","base.MGA"
"init.8b9c0d1e-2f3a-4b5c-6d7e-8f9a0b1c2d3e","HJRB",18,"init.7a8b9c0d-1e2f-3a4b-5c6d-7e8f9a0b1c2d","init.99c00d11-22e3-4f5a-6b7c-8d9e0f1a2b3c","base.MGA"
